Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Institut fu&#x0308;r Wirtschaftsinformatik,Liaoning University,33,30
Institut fu&#x0308;r Wirtschaftsinformatik,Independent Consultant,28,29
Institut fu&#x0308;r Wirtschaftsinformatik,Hitfox Group,26,26
Institut fu&#x0308;r Wirtschaftsinformatik,Alibaba Research Institute,29,42
Institut fu&#x0308;r Wirtschaftsinformatik,Teleplan AS,15,19
Institut fu&#x0308;r Wirtschaftsinformatik,KEDGE Business School,25,32
Institut fu&#x0308;r Wirtschaftsinformatik,Guangdong General Hospital,24,21
Institut fu&#x0308;r Wirtschaftsinformatik,Hainan Normal University,30,31
Institut fu&#x0308;r Wirtschaftsinformatik,Erasmus University Medical Center,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,"Xavier Labour Relations Institutes, Jamshedpur",30,44
Institut fu&#x0308;r Wirtschaftsinformatik,Nanjing University of Finance and EcoNomics,35,29
Institut fu&#x0308;r Wirtschaftsinformatik,Advanced Manufacturing and Design Centre,27,30
Institut fu&#x0308;r Wirtschaftsinformatik,University of Innsbruck/Austria and visiting scholar,36,37
Institut fu&#x0308;r Wirtschaftsinformatik,Virginia Union University,33,36
Institut fu&#x0308;r Wirtschaftsinformatik,Mississippi Center for Supercomputing Research,34,34
Institut fu&#x0308;r Wirtschaftsinformatik,SINTEF Digital,29,29
Institut fu&#x0308;r Wirtschaftsinformatik,Eller College of Management,20,24
Institut fu&#x0308;r Wirtschaftsinformatik,The Pirbright Institute,31,44
Institut fu&#x0308;r Wirtschaftsinformatik,Kelley School of Business,24,30
Institut fu&#x0308;r Wirtschaftsinformatik,Sch. of Lib. and Information Science,38,35
Institut fu&#x0308;r Wirtschaftsinformatik,School of Informatics,41,32
Institut fu&#x0308;r Wirtschaftsinformatik,Sintef Foundation for Scientific and Industrial Research At the Norwegian Institute of Technology,32,38
Institut fu&#x0308;r Wirtschaftsinformatik,Audencia School of Management,28,29
Institut fu&#x0308;r Wirtschaftsinformatik,Carney Hospital,21,21
Institut fu&#x0308;r Wirtschaftsinformatik,Brandenburgische Technische Universität Cottbus,27,32
Institut fu&#x0308;r Wirtschaftsinformatik,Liander N.V.,19,23
Institut fu&#x0308;r Wirtschaftsinformatik,Avaya Inc.,12,16
Institut fu&#x0308;r Wirtschaftsinformatik,Universitätsklinikum Heidelberg,30,34
Institut fu&#x0308;r Wirtschaftsinformatik,Research International,31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Università degli Studi di Bergamo,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,University of Michigan Medical School,35,28
Institut fu&#x0308;r Wirtschaftsinformatik,Guangxi Medical University,26,30
Institut fu&#x0308;r Wirtschaftsinformatik,College of Business Administration of Toledo,28,31
Institut fu&#x0308;r Wirtschaftsinformatik,LivingSocial,22,23
Institut fu&#x0308;r Wirtschaftsinformatik,Zhejiang Shuren University,32,30
Institut fu&#x0308;r Wirtschaftsinformatik,Costco Wholesale,24,25
Institut fu&#x0308;r Wirtschaftsinformatik,San Francisco State University,33,34
Institut fu&#x0308;r Wirtschaftsinformatik,Hamilton Public Library,28,25
Institut fu&#x0308;r Wirtschaftsinformatik,Donghua University,30,27
Institut fu&#x0308;r Wirtschaftsinformatik,Shanghai Maya Audio-Video Franchise Corporation,31,34
Institut fu&#x0308;r Wirtschaftsinformatik,Friedrich Schiller Universität Jena,29,32
Institut fu&#x0308;r Wirtschaftsinformatik,The German University in Cairo (GUC,31,29
Institut fu&#x0308;r Wirtschaftsinformatik,Martin-Universität Halle-Wittenberg,34,37
Institut fu&#x0308;r Wirtschaftsinformatik,University of Stirling,38,38
Institut fu&#x0308;r Wirtschaftsinformatik,Yokohama University,23,33
Institut fu&#x0308;r Wirtschaftsinformatik,Tatung University,34,31
Institut fu&#x0308;r Wirtschaftsinformatik,CoreLogic Inc.,18,19
Institut fu&#x0308;r Wirtschaftsinformatik,Prudential Financial,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,San Jose State University,33,33
Institut fu&#x0308;r Wirtschaftsinformatik,Nanjing University of Aeronautics and Astronautics,37,33
Institut fu&#x0308;r Wirtschaftsinformatik,"Hitachi-LG Data Storage, Inc.",31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Hospital Universitario Araba,37,32
Institut fu&#x0308;r Wirtschaftsinformatik,Hospital Universitari Vall d'Hebron,29,34
Institut fu&#x0308;r Wirtschaftsinformatik,Hospital Torrevieja Salud Torrevieja,31,31
Institut fu&#x0308;r Wirtschaftsinformatik,Hospital Universitario Central de Asturias,36,34
Institut fu&#x0308;r Wirtschaftsinformatik,Trinity University,37,34
Institut fu&#x0308;r Wirtschaftsinformatik,Federal University of Pernambuco - UFPE,25,28
Institut fu&#x0308;r Wirtschaftsinformatik,Greylock Partners,20,21
Institut fu&#x0308;r Wirtschaftsinformatik,Coll. Admin. Bus.,17,22
Institut fu&#x0308;r Wirtschaftsinformatik,U.S. Army Engineer Research and Development Center,30,29
Institut fu&#x0308;r Wirtschaftsinformatik,CISI Group,23,24
Institut fu&#x0308;r Wirtschaftsinformatik,"Mercy University Hospital Cork, Ireland",30,30
Institut fu&#x0308;r Wirtschaftsinformatik,BASF SE,16,17
Institut fu&#x0308;r Wirtschaftsinformatik,Dalian Institute of Chemical Physics Chinese Academy of Sciences,38,30
Institut fu&#x0308;r Wirtschaftsinformatik,Center for REsearch And Telecommunication Experimentation for NETworked communities,32,32
Institut fu&#x0308;r Wirtschaftsinformatik,Architecture and Shared Technology,32,35
Institut fu&#x0308;r Wirtschaftsinformatik,Perdue School of Business,27,33
Institut fu&#x0308;r Wirtschaftsinformatik,University of Arizona Cancer Center,34,26
Institut fu&#x0308;r Wirtschaftsinformatik,Yale University School of Medicine,29,29
Institut fu&#x0308;r Wirtschaftsinformatik,Steria Mummert Consulting AG,34,35
Institut fu&#x0308;r Wirtschaftsinformatik,Rock Mobile,15,19
Institut fu&#x0308;r Wirtschaftsinformatik,University of Chinese Academy of Sciences,36,29
Institut fu&#x0308;r Wirtschaftsinformatik,University of Guam,30,27
Institut fu&#x0308;r Wirtschaftsinformatik,Tucson Police Department,27,25
Institut fu&#x0308;r Wirtschaftsinformatik,Anthens Univ. of Econ. and Business,29,27
Institut fu&#x0308;r Wirtschaftsinformatik,Ching Kuo Institute of Management & Health,38,40
Institut fu&#x0308;r Wirtschaftsinformatik,"Erasmus School of Economics, Econometric Institute",28,36
Institut fu&#x0308;r Wirtschaftsinformatik,Salford City Council,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,7P Solutions and Consulting AG,28,28
Institut fu&#x0308;r Wirtschaftsinformatik,Laurentides Regional Health and Social Agency,28,28
Institut fu&#x0308;r Wirtschaftsinformatik,West Chester University,31,31
Institut fu&#x0308;r Wirtschaftsinformatik,Rennes School of Business,30,33
Institut fu&#x0308;r Wirtschaftsinformatik,CNCERT/CC,16,20
Institut fu&#x0308;r Wirtschaftsinformatik,Forschungszentrum Informatik,46,49
Institut fu&#x0308;r Wirtschaftsinformatik,Departamento de Gestion de Empresas,26,29
Institut fu&#x0308;r Wirtschaftsinformatik,Universidad Pública de Navarra,28,29
Institut fu&#x0308;r Wirtschaftsinformatik,XamaX Consultancy Pty. Ltd.,20,33
Institut fu&#x0308;r Wirtschaftsinformatik,Hochschule Reutlingen,22,23
Institut fu&#x0308;r Wirtschaftsinformatik,Massachusetts Institute of Technology PhD Alum ('07),36,40
Institut fu&#x0308;r Wirtschaftsinformatik,California State University Sacramento,38,30
Institut fu&#x0308;r Wirtschaftsinformatik,Suwon University,31,28
Institut fu&#x0308;r Wirtschaftsinformatik,First People's Hospital of Changsha,34,32
Institut fu&#x0308;r Wirtschaftsinformatik,Universidad de Navarra,25,29
Institut fu&#x0308;r Wirtschaftsinformatik,National Aeronautics and Space Administration,37,35
Institut fu&#x0308;r Wirtschaftsinformatik,M.S. Ramaiah Medical College,23,29
Institut fu&#x0308;r Wirtschaftsinformatik,Hunan Institute of Science and Technology,41,44
Institut fu&#x0308;r Wirtschaftsinformatik,not available,22,19
Institut fu&#x0308;r Wirtschaftsinformatik,Eastern Macedonia and Thrace Institute of Technology,34,39
Institut fu&#x0308;r Wirtschaftsinformatik,IBM Dublin Lab,21,25
Institut fu&#x0308;r Wirtschaftsinformatik,Université de Strasbourg,33,34
Institut fu&#x0308;r Wirtschaftsinformatik,Universite Paris Descartes,35,30
Institut fu&#x0308;r Wirtschaftsinformatik,"Beville Engineering, Inc.",21,22
Institut fu&#x0308;r Wirtschaftsinformatik,Rutherford Appleton Laboratory,33,28
Institut fu&#x0308;r Wirtschaftsinformatik,Daresbury Laboratory,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,Boston University School of Public Health,34,29
Institut fu&#x0308;r Wirtschaftsinformatik,Anglia Ruskin University,30,31
Institut fu&#x0308;r Wirtschaftsinformatik,Sony Corporation,28,25
Institut fu&#x0308;r Wirtschaftsinformatik,National Taiwan Normal University,35,32
Institut fu&#x0308;r Wirtschaftsinformatik,Outback Digital Network,31,28
Institut fu&#x0308;r Wirtschaftsinformatik,Kobe University,25,25
Institut fu&#x0308;r Wirtschaftsinformatik,Fraunhofer Institute for Applied Information Technology FIT,44,38
Institut fu&#x0308;r Wirtschaftsinformatik,Structured Wikis LLC,35,33
Institut fu&#x0308;r Wirtschaftsinformatik,"Eclipse Foundation and Cunningham and Cunningham, Inc",27,30
Institut fu&#x0308;r Wirtschaftsinformatik,Southeastern Louisiana University,29,35
Institut fu&#x0308;r Wirtschaftsinformatik,Institute of Chemistry Chinese Academy of Sciences,43,33
Institut fu&#x0308;r Wirtschaftsinformatik,School of Business Administration,35,32
Institut fu&#x0308;r Wirtschaftsinformatik,Universitetet i Bergen,28,29
Institut fu&#x0308;r Wirtschaftsinformatik,Lighthouse Management Consultants,27,32
Institut fu&#x0308;r Wirtschaftsinformatik,UCP - Católica Lisbon School of Business & Economics,30,34
Institut fu&#x0308;r Wirtschaftsinformatik,ADD,4,5
Institut fu&#x0308;r Wirtschaftsinformatik,First Affiliated Hospital of Zhengzhou University,33,33
Institut fu&#x0308;r Wirtschaftsinformatik,TenneT TSO B.V.,21,29
Institut fu&#x0308;r Wirtschaftsinformatik,Beijing Fluid Filtration and Separation Technology Research Center,33,36
Institut fu&#x0308;r Wirtschaftsinformatik,University of Southern New Hampshire,38,31
Institut fu&#x0308;r Wirtschaftsinformatik,Stevens College,18,14
Institut fu&#x0308;r Wirtschaftsinformatik,CFO Program,23,23
Institut fu&#x0308;r Wirtschaftsinformatik,European University Viadrina,29,35
Institut fu&#x0308;r Wirtschaftsinformatik,Universidade Catolica de Santos,27,31
Institut fu&#x0308;r Wirtschaftsinformatik,CenPRA Centro de Pesquisas Renato Archer,27,30
Institut fu&#x0308;r Wirtschaftsinformatik,Seals GmbH,15,16
Institut fu&#x0308;r Wirtschaftsinformatik,University Rd,22,26
Institut fu&#x0308;r Wirtschaftsinformatik,Shri Sankaracarya Institute of Management and Technology,33,37
Institut fu&#x0308;r Wirtschaftsinformatik,The Logistics Institute-Asia Pacific,33,47
Institut fu&#x0308;r Wirtschaftsinformatik,ECI Health Partners,26,27
Institut fu&#x0308;r Wirtschaftsinformatik,Allegheny Health Network,27,28
Institut fu&#x0308;r Wirtschaftsinformatik,Azerbaijan Association of Zadeh's Legacy,27,27
Institut fu&#x0308;r Wirtschaftsinformatik,Huashan Hospital,24,28
Institut fu&#x0308;r Wirtschaftsinformatik,Saint Mary's University,34,31
Institut fu&#x0308;r Wirtschaftsinformatik,Marketing Department,23,23
Institut fu&#x0308;r Wirtschaftsinformatik,Precedence B.V.,11,18
Institut fu&#x0308;r Wirtschaftsinformatik,Ericsson,20,20
Institut fu&#x0308;r Wirtschaftsinformatik,Sabanci Üniversitesi,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,Kahramanmaras Sütçü Imam Üniversitesi,28,30
Institut fu&#x0308;r Wirtschaftsinformatik,Central South University China School of Basic Medical Sciences,34,29
Institut fu&#x0308;r Wirtschaftsinformatik,Naval Training Equipment Center,27,31
Institut fu&#x0308;r Wirtschaftsinformatik,Indian School of Business,33,33
Institut fu&#x0308;r Wirtschaftsinformatik,"National University Hospital, Singapore",37,30
Institut fu&#x0308;r Wirtschaftsinformatik,Winston-Salem State University,36,34
Institut fu&#x0308;r Wirtschaftsinformatik,"IBM, Netherlands",21,21
Institut fu&#x0308;r Wirtschaftsinformatik,Centro Andaluz de Estudios Empresariales,29,32
Institut fu&#x0308;r Wirtschaftsinformatik,Universidad Complutense de Madrid,27,30
Institut fu&#x0308;r Wirtschaftsinformatik,Oregon Health and Science University,26,29
Institut fu&#x0308;r Wirtschaftsinformatik,Beijing University of Chemical Technology,34,29
Institut fu&#x0308;r Wirtschaftsinformatik,NeoDin Veterinary Science Institute,31,42
Institut fu&#x0308;r Wirtschaftsinformatik,Dr.Youn's Animal Hospital,24,30
Institut fu&#x0308;r Wirtschaftsinformatik,Texas A/M International University,29,35
Institut fu&#x0308;r Wirtschaftsinformatik,Shanghai Academy of Agricultural Sciences,27,32
Institut fu&#x0308;r Wirtschaftsinformatik,Qinghai Academy of Animal Science and Veterinary Medicine,32,27
Institut fu&#x0308;r Wirtschaftsinformatik,Qinghai Provincial Centre for Disease Control and Prevention,33,32
Institut fu&#x0308;r Wirtschaftsinformatik,Fuan University,28,32
Institut fu&#x0308;r Wirtschaftsinformatik,Molson Coors Brewing Company,29,26
Institut fu&#x0308;r Wirtschaftsinformatik,Efi Arazi School of Computer Science,31,31
Institut fu&#x0308;r Wirtschaftsinformatik,Weizmann Institute of Science Israel,44,47
Institut fu&#x0308;r Wirtschaftsinformatik,University of Indianapolis,35,30
Institut fu&#x0308;r Wirtschaftsinformatik,Strayer University,30,31
Institut fu&#x0308;r Wirtschaftsinformatik,Price Waterhouse & Co,25,23
Institut fu&#x0308;r Wirtschaftsinformatik,PersonalGenomes.org,20,27
Institut fu&#x0308;r Wirtschaftsinformatik,Sejong University,27,24
Institut fu&#x0308;r Wirtschaftsinformatik,Leyland F. Pitt is Professor of Management Studies at Henley Management College,26,27
Institut fu&#x0308;r Wirtschaftsinformatik,Bank Of China,33,30
Institut fu&#x0308;r Wirtschaftsinformatik,Korea Institute of Science and Technology Information,51,40
Institut fu&#x0308;r Wirtschaftsinformatik,W. P. Carey School of Business,28,35
Institut fu&#x0308;r Wirtschaftsinformatik,Linköpng University,30,27
Institut fu&#x0308;r Wirtschaftsinformatik,European Business School (Ebs,23,32
Institut fu&#x0308;r Wirtschaftsinformatik,Teradata Corporation,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,Target,17,17
Institut fu&#x0308;r Wirtschaftsinformatik,Institute of Policy and Management Chinese Academy of Science,39,31
Institut fu&#x0308;r Wirtschaftsinformatik,Kutztown University,30,30
Institut fu&#x0308;r Wirtschaftsinformatik,UNESCO Institute for Lifelong Learning,42,43
Institut fu&#x0308;r Wirtschaftsinformatik,"Indian Institute of Technology (Indian School of Mines), Dhanbad",36,33
Institut fu&#x0308;r Wirtschaftsinformatik,Atlantic Service Centre,28,28
Institut fu&#x0308;r Wirtschaftsinformatik,Terra Nova National Park,30,28
Institut fu&#x0308;r Wirtschaftsinformatik,Monash University Jalan Lagoon Selatan Bandar Sunway 47500 Malaysia,28,24
Institut fu&#x0308;r Wirtschaftsinformatik,Multimedia University Persiaran Multimedia Cyberhaya 63100 Malaysia,29,26
Institut fu&#x0308;r Wirtschaftsinformatik,Dinalog,16,17
Institut fu&#x0308;r Wirtschaftsinformatik,BuyClub,8,8
Institut fu&#x0308;r Wirtschaftsinformatik,ANGEL IGLESIAS S.A. - IKUSI,26,31
Institut fu&#x0308;r Wirtschaftsinformatik,Loughborough University of Technology,30,28
Institut fu&#x0308;r Wirtschaftsinformatik,Ashland University,27,24
Institut fu&#x0308;r Wirtschaftsinformatik,UNC Wilmington,25,29
Institut fu&#x0308;r Wirtschaftsinformatik,Loughborough University,25,25
Institut fu&#x0308;r Wirtschaftsinformatik,Foshan University,27,28
Institut fu&#x0308;r Wirtschaftsinformatik,Loughborough School of Business and Economics,30,28
Institut fu&#x0308;r Wirtschaftsinformatik,GE Energy,12,12
Institut fu&#x0308;r Wirtschaftsinformatik,Eastern New Mexico University,28,29
Institut fu&#x0308;r Wirtschaftsinformatik,Internet bank,29,26
Institut fu&#x0308;r Wirtschaftsinformatik,SYDNEY,8,9
Institut fu&#x0308;r Wirtschaftsinformatik,NARI Technology Development Co. Ltd.,26,32
Institut fu&#x0308;r Wirtschaftsinformatik,Emory Healthcare,21,21
Institut fu&#x0308;r Wirtschaftsinformatik,LogicaCMG,16,16
Institut fu&#x0308;r Wirtschaftsinformatik,Eastern Washington University,34,34
Institut fu&#x0308;r Wirtschaftsinformatik,Institute of Computer Science at the Foundation for Research Technology Hellas (lCS-FORTH),38,34
Institut fu&#x0308;r Wirtschaftsinformatik,Fundação Estadual de Meio Ambiente de Minas Gerais - FEAM,28,30
Institut fu&#x0308;r Wirtschaftsinformatik,Conservation Strategy Fund,29,33
Institut fu&#x0308;r Wirtschaftsinformatik,Southampton Business School,29,35
Institut fu&#x0308;r Wirtschaftsinformatik,Universidad de Sonora,32,29
Institut fu&#x0308;r Wirtschaftsinformatik,University of Occident,34,32
Institut fu&#x0308;r Wirtschaftsinformatik,Korea Institute for Advanced Study,39,40
Institut fu&#x0308;r Wirtschaftsinformatik,SRI International,34,34
Institut fu&#x0308;r Wirtschaftsinformatik,Pontificia Universidad Catolica del Peru,32,27
Institut fu&#x0308;r Wirtschaftsinformatik,Deloitte Consulting LLP and Leader of Deloitte's Social Business Practice,35,32
Institut fu&#x0308;r Wirtschaftsinformatik,Deloitte Services LP,26,26
Institut fu&#x0308;r Wirtschaftsinformatik,U. of Central Florida,32,30
Institut fu&#x0308;r Wirtschaftsinformatik,TEC Associates,25,25
Institut fu&#x0308;r Wirtschaftsinformatik,Saint John's Health System,29,30
Institut fu&#x0308;r Wirtschaftsinformatik,Telecom Ecole de Management,20,24
Institut fu&#x0308;r Wirtschaftsinformatik,Coles College of Business,21,27
Institut fu&#x0308;r Wirtschaftsinformatik,Fu-Yuan Construction Company,31,32
Institut fu&#x0308;r Wirtschaftsinformatik,American University in Dubai,34,29
Institut fu&#x0308;r Wirtschaftsinformatik,Loyola University,24,24
Institut fu&#x0308;r Wirtschaftsinformatik,Hanken School of Economics,29,24
Institut fu&#x0308;r Wirtschaftsinformatik,Zhongkai University of Agriculture and Engineering,33,31
Institut fu&#x0308;r Wirtschaftsinformatik,Guangdong Academy of Construction and Architecture Science,28,28
Institut fu&#x0308;r Wirtschaftsinformatik,Jiangsu University of Technology,35,36
Institut fu&#x0308;r Wirtschaftsinformatik,General Motors,21,22
Institut fu&#x0308;r Wirtschaftsinformatik,HRL Laboratories,28,28
Institut fu&#x0308;r Wirtschaftsinformatik,CHU de Québec Research Center,28,26
Institut fu&#x0308;r Wirtschaftsinformatik,The U.S. Army Defense Ammunition Center,27,30
Institut fu&#x0308;r Wirtschaftsinformatik,O and i - Partners in BPM,30,28
Institut fu&#x0308;r Wirtschaftsinformatik,UWV,9,9
Institut fu&#x0308;r Wirtschaftsinformatik,Sogeti Nederland BV,23,27
Institut fu&#x0308;r Wirtschaftsinformatik,"Aptima, Inc",23,24
Institut fu&#x0308;r Wirtschaftsinformatik,Fakultät für Ingenieurwissenschaften,38,45
Institut fu&#x0308;r Wirtschaftsinformatik,Cedars-Sinai Medical Center,26,38
Institut fu&#x0308;r Wirtschaftsinformatik,Stevens Instiutute of Technology,43,44
Institut fu&#x0308;r Wirtschaftsinformatik,The Mount Sinai Hospital,27,37
Institut fu&#x0308;r Wirtschaftsinformatik,Fieba,13,13
Institut fu&#x0308;r Wirtschaftsinformatik,College of Business,20,27
Institut fu&#x0308;r Wirtschaftsinformatik,Roger Williams University,27,30
Institut fu&#x0308;r Wirtschaftsinformatik,B.S.Abdur Rahman University,29,29
Institut fu&#x0308;r Wirtschaftsinformatik,Bharathiar University,29,29
Institut fu&#x0308;r Wirtschaftsinformatik,Berg and Partner,21,28
Institut fu&#x0308;r Wirtschaftsinformatik,Shanghai Institute of Technology,43,47
Institut fu&#x0308;r Wirtschaftsinformatik,North University of China,36,30
Institut fu&#x0308;r Wirtschaftsinformatik,College of Physicians of Quebec,22,22
Institut fu&#x0308;r Wirtschaftsinformatik,Hong Kong Hospital Authority,31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Andersen Consulting,23,23
Institut fu&#x0308;r Wirtschaftsinformatik,Andersen Consulting,23,23
Institut fu&#x0308;r Wirtschaftsinformatik,Waseda University,27,34
Institut fu&#x0308;r Wirtschaftsinformatik,University of Hawaii at Hilo,37,29
Institut fu&#x0308;r Wirtschaftsinformatik,Kyunggi University,30,31
